Bulan,Trimester,Kategori_Risiko,Hari_Ke,No_Tugas,Tugas_Harian,Kategori_Aktivitas
1,Trimester 1,Risiko Sedang,5,4,Ganti pantyliner/pakaian dalam katun secara berkala setiap 3-4 jam untuk cegah infeksi jamur.,Higienitas & Self-Care
1,Trimester 1,Risiko Sedang,5,5,Susun daftar belanja bahan makanan bergizi dan pesan secara online tanpa perlu ke pasar.,Persiapan Praktis
1,Trimester 1,Risiko Sedang,6,1,Makan malam dengan kentang tumbuk (mashed potato) and sup labu siam hangat.,Nutrisi & Hidrasi
1,Trimester 1,Risiko Sedang,6,2,Konsumsi suplemen penunjang saluran cerna (probiotik prenatal) jika diresepkan dokter.,Vitamin & Obat
1,Trimester 1,Risiko Sedang,6,3,Istirahat sore terjadwal 30 menit sambil mendengarkan musik relaksasi.,Aktivitas & Istirahat
1,Trimester 1,Risiko Sedang,6,4,Kompres hangat dahi atau tengkuk dengan handuk basah lembut untuk meredakan pusing mual.,Higienitas & Self-Care
1,Trimester 1,Risiko Sedang,6,5,Atur pengingat alarm di ponsel untuk jadwal istirahat siang dan konsumsi obat harian.,Persiapan Praktis
1,Trimester 1,Risiko Sedang,7,1,Konsumsi camilan biskuit marie dan air hangat 1 jam sebelum tidur agar perut tidak kosong.,Nutrisi & Hidrasi
1,Trimester 1,Risiko Sedang,7,2,Siapkan dan rapikan stok obat harian ke dalam wadah tertutup yang sejuk dan higienis.,Vitamin & Obat
1,Trimester 1,Risiko Sedang,7,3,Tidur malam dengan posisi miring didukung bantal guling yang nyaman.,Aktivitas & Istirahat
1,Trimester 1,Risiko Sedang,7,4,Oleskan minyak kelapa murni (VCO) pada kulit tubuh yang mulai terasa kering di malam hari.,Higienitas & Self-Care
1,Trimester 1,Risiko Sedang,7,5,Simpan rute tercepat menuju instalasi gawat darurat (IGD) RS bersalin terdekat.,Persiapan Praktis
1,Trimester 1,Risiko Tinggi,1,1,Konsumsi roti panggang tawar kering dan air jahe hangat perlahan di tempat tidur.,Nutrisi & Hidrasi
1,Trimester 1,Risiko Tinggi,1,2,Minum obat penguat kandungan (progesteron oral/vaginal) tepat waktu sesuai jadwal ketat dokter.,Vitamin & Obat
1,Trimester 1,Risiko Tinggi,1,3,Tirah baring (bedrest) di ranjang dengan sandaran punggung sudut 30-45 derajat.,Aktivitas & Istirahat
1,Trimester 1,Risiko Tinggi,1,4,Seka wajah dan leher menggunakan handuk hangat beraroma kamomil lembut di tempat tidur.,Higienitas & Self-Care
1,Trimester 1,Risiko Tinggi,1,5,"Letakkan ponsel darurat, bel panggil, dan botol minum dalam jangkauan 30 cm dari kasur.",Persiapan Praktis
1,Trimester 1,Risiko Tinggi,2,1,Santap bubur sumsum atau bubur halus kaya kalori porsi mini (4-5 sendok makan) di ranjang.,Nutrisi & Hidrasi
1,Trimester 1,Risiko Tinggi,2,2,Konsumsi tablet asam folat dosis medis tinggi sesuai resep dokter spesialis kandungan.,Vitamin & Obat
1,Trimester 1,Risiko Tinggi,2,3,Lakukan gerakan pompa pergelangan kaki (ankle pumping) lembut di kasur 10 kali.,Aktivitas & Istirahat
1,Trimester 1,Risiko Tinggi,2,4,Lakukan kebersihan mulut dan sikat gigi perlahan di ranjang menggunakan wadah kumur khusus.,Higienitas & Self-Care
1,Trimester 1,Risiko Tinggi,2,5,Simpan nomor ambulans rumah sakit rujukan dan nomor dokter penanggung jawab di ponsel pendamping.,Persiapan Praktis
1,Trimester 1,Risiko Tinggi,3,1,Penuhi asupan cairan oralit/air mineral bersuhu ruang sedikit demi sedikit (100 ml per jam) via sedotan.,Nutrisi & Hidrasi
1,Trimester 1,Risiko Tinggi,3,2,Minum obat anti-mual/asam lambung resep dokter 30 menit sebelum jadwal makan di ranjang.,Vitamin & Obat
1,Trimester 1,Risiko Tinggi,3,3,Istirahat total di tempat tidur dan hindari berdiri lebih dari 5 menit berturut-turut.,Aktivitas & Istirahat
1,Trimester 1,Risiko Tinggi,3,4,Ganti pakaian tidur longgar berkancing depan berbahan katun lembut dengan bantuan pendamping.,Higienitas & Self-Care
1,Trimester 1,Risiko Tinggi,3,5,"Siapkan meja samping ranjang khusus untuk meletakkan obat, termometer, dan catatan medis.",Persiapan Praktis
1,Trimester 1,Risiko Tinggi,4,1,Konsumsi sup sari daging/kaldu murni hangat tanpa minyak berlebih untuk makan siang di tempat tidur.,Nutrisi & Hidrasi
1,Trimester 1,Risiko Tinggi,4,2,Minum obat penguat kandungan dosis siang tepat jam dengan bantuan pendamping di ranjang.,Vitamin & Obat
1,Trimester 1,Risiko Tinggi,4,3,Latihan relaksasi otot progresif non-fisik (deep breathing) di ranjang selama 15 menit.,Aktivitas & Istirahat
1,Trimester 1,Risiko Tinggi,4,4,Bersihkan area genital dengan tisu basah non-alkohol/air bersih dari ranjang secara higienis.,Higienitas & Self-Care
1,Trimester 1,Risiko Tinggi,4,5,Alihkan seluruh tanggung jawab tugas rumah tangga ke keluarga atau asisten rumah tangga.,Persiapan Praktis
1,Trimester 1,Risiko Tinggi,5,1,Minum jus pir/apel rebus encer kaya serat halus yang disajikan oleh pendamping di kasur.,Nutrisi & Hidrasi
1,Trimester 1,Risiko Tinggi,5,2,Konsumsi suplemen mikronutrien lengkap kehamilan setelah jadwal makan siang di ranjang.,Vitamin & Obat
1,Trimester 1,Risiko Tinggi,5,3,Ubah posisi baring miring ke kiri secara perlahan dengan bantuan bantal penyangga.,Aktivitas & Istirahat
1,Trimester 1,Risiko Tinggi,5,4,"Ganti alas perlak atau sprei ranjang agar selalu kering, bersih, dan harum menenangkan.",Higienitas & Self-Care
1,Trimester 1,Risiko Tinggi,5,5,"Susun berkas identitas (KTP, KK, kartu asuransi/BPJS) dalam map darurat di samping ranjang.",Persiapan Praktis
1,Trimester 1,Risiko Tinggi,6,1,Makan malam menu lunak (puree kentang dan telur rebus matang dihaluskan) dalam posisi sandaran 45 derajat.,Nutrisi & Hidrasi
1,Trimester 1,Risiko Tinggi,6,2,Minum obat penguat kandungan dosis malam tepat waktu sebelum tidur.,Vitamin & Obat
1,Trimester 1,Risiko Tinggi,6,3,Tirah baring sore dengan mendengarkan audio afirmasi positif kehamilan di kasur.,Aktivitas & Istirahat
1,Trimester 1,Risiko Tinggi,6,4,Minta pendamping memijat lembut kedua lengan dan telapak tangan dengan minyak zaitun di kasur.,Higienitas & Self-Care
1,Trimester 1,Risiko Tinggi,6,5,Koordinasikan pembagian jadwal pendampingan harian bersama anggota keluarga di rumah.,Persiapan Praktis
1,Trimester 1,Risiko Tinggi,7,1,Minum air hangat dengan sendok perlahan sebelum waktu tidur malam di ranjang.,Nutrisi & Hidrasi
1,Trimester 1,Risiko Tinggi,7,2,Pastikan pendamping mengisi ulang kotak obat harian di samping meja ranjang.,Vitamin & Obat
1,Trimester 1,Risiko Tinggi,7,3,Tidur malam optimal 9 jam di tempat tidur dengan posisi baring santai berbantal empuk.,Aktivitas & Istirahat
1,Trimester 1,Risiko Tinggi,7,4,Oleskan pelembap wajah lembut dan pelembap bibir sebelum beristirahat di ranjang.,Higienitas & Self-Care
1,Trimester 1,Risiko Tinggi,7,5,Catat jadwal kontrol dokter kehamilan risiko tinggi berikutnya di kalender bersama.,Persiapan Praktis
2,Trimester 1,Risiko Rendah,1,1,Minum segelas air kelapa murni segar di pagi hari untuk menjaga keseimbangan elektrolit tubuh.,Nutrisi & Hidrasi
2,Trimester 1,Risiko Rendah,1,2,Minum tablet asam folat dan vitamin B kompleks setelah sarapan pagi.,Vitamin & Obat
2,Trimester 1,Risiko Rendah,1,3,Jalan pagi santai 20 menit di bawah sinar matahari pagi sebelum jam 8.,Aktivitas & Istirahat
2,Trimester 1,Risiko Rendah,1,4,Bilas mulut dengan air rebusan daun sirih encer atau obat kumur non-alkohol setelah muntah/mual.,Higienitas & Self-Care
2,Trimester 1,Risiko Rendah,1,5,Beli bra nirkawat dan pakaian longgar berbahan sejuk untuk persiapan perubahan ukuran tubuh.,Persiapan Praktis
2,Trimester 1,Risiko Rendah,2,1,"Konsumsi salad buah potong (pisang, apel, pir) disiram yogurt plain rendah gula.",Nutrisi & Hidrasi
2,Trimester 1,Risiko Rendah,2,2,Konsumsi suplemen vitamin C non-asam untuk menjaga daya tahan tubuh.,Vitamin & Obat
2,Trimester 1,Risiko Rendah,2,3,Lakukan peregangan samping tubuh (side stretch) lembut sambil duduk di matras.,Aktivitas & Istirahat
2,Trimester 1,Risiko Rendah,2,4,Gunakan pakaian longgar berbahan katun bambu yang sejuk dan menyerap keringat.,Higienitas & Self-Care
2,Trimester 1,Risiko Rendah,2,5,Mulai sisihkan pos dana khusus kehamilan dan persalinan ke rekening tabungan terpisah.,Persiapan Praktis
2,Trimester 1,Risiko Rendah,3,1,Makan siang dengan pepes ikan kembung matang kaya omega-3 dan sepiring nasi merah.,Nutrisi & Hidrasi
2,Trimester 1,Risiko Rendah,3,2,Minum suplemen prenatal harian dengan segelas air putih setelah makan siang.,Vitamin & Obat
2,Trimester 1,Risiko Rendah,3,3,Istirahat tidur siang sejenak (power nap) 20-30 menit untuk mengatasi kelelahan hormonal.,Aktivitas & Istirahat
2,Trimester 1,Risiko Rendah,3,4,Mandi air suam-suam kuku dan hindari berendam air panas (hot tub/sauna).,Higienitas & Self-Care
2,Trimester 1,Risiko Rendah,3,5,Cari tahu kebijakan cuti melahirkan dan tunjangan kehamilan di tempat kerja.,Persiapan Praktis
2,Trimester 1,Risiko Rendah,4,1,Minum infused water timun dan daun mint untuk mencegah rasa pahit di mulut.,Nutrisi & Hidrasi
2,Trimester 1,Risiko Rendah,4,2,Jauhkan konsumsi suplemen vitamin dari minuman berkandungan kafein minimal 2 jam.,Vitamin & Obat
2,Trimester 1,Risiko Rendah,4,3,"Lakukan gerakan senam kegel dasar 3 set (tahan 5 detik, rileks 5 detik, ulangi 10 kali).",Aktivitas & Istirahat
2,Trimester 1,Risiko Rendah,4,4,Oleskan krim pelembap bebas paraben pada area leher dan dada yang mulai sensitif.,Higienitas & Self-Care
2,Trimester 1,Risiko Rendah,4,5,Buat daftar belanja makanan sehat berkalsium dan berserat tinggi untuk stok mingguan.,Persiapan Praktis
2,Trimester 1,Risiko Rendah,5,1,Ngemil kacang almond panggang tawar segenggam tangan sebagai sumber lemak sehat.,Nutrisi & Hidrasi
2,Trimester 1,Risiko Rendah,5,2,Minum vitamin folat harian secara konsisten pada jam yang telah ditentukan.,Vitamin & Obat
2,Trimester 1,Risiko Rendah,5,3,Jalan santai sore santai 15 menit di taman dekat rumah.,Aktivitas & Istirahat
2,Trimester 1,Risiko Rendah,5,4,Ganti pakaian dalam secara teratur dan pastikan selalu kering untuk mencegah keputihan.,Higienitas & Self-Care
2,Trimester 1,Risiko Rendah,5,5,Simpan kontak klinik laktasi dan bidan pendamping terpercaya di buku telepon ponsel.,Persiapan Praktis
2,Trimester 1,Risiko Rendah,6,1,Santap tumis taoge tahu dan daging ayam fillet matang sempurna untuk makan malam.,Nutrisi & Hidrasi
2,Trimester 1,Risiko Rendah,6,2,Konsumsi suplemen kalsium/D3 pada waktu berbeda dengan suplemen zat besi.,Vitamin & Obat
2,Trimester 1,Risiko Rendah,6,3,Peregangan betis dan hamstring lembut untuk mencegah ketegangan kaki.,Aktivitas & Istirahat
2,Trimester 1,Risiko Rendah,6,4,Gunakan tabir surya (sunscreen) berfilter fisik (mineral sunscreen / zinc oxide) saat keluar rumah.,Higienitas & Self-Care
2,Trimester 1,Risiko Rendah,6,5,Rapikan area kamar tidur agar memiliki sirkulasi udara yang bersih dan bebas debu.,Persiapan Praktis
2,Trimester 1,Risiko Rendah,7,1,Minum segelas susu hamil atau susu kedelai hangat 30 menit sebelum tidur.,Nutrisi & Hidrasi
2,Trimester 1,Risiko Rendah,7,2,Cek kembali sisa persediaan tablet asam folat dan multivitamin prenatal.,Vitamin & Obat
2,Trimester 1,Risiko Rendah,7,3,Tidur malam minimal 8 jam dengan ventilasi kamar yang sejuk dan nyaman.,Aktivitas & Istirahat
2,Trimester 1,Risiko Rendah,7,4,Lakukan perendaman kaki dengan air hangat campur garam epsom selama 10 menit sebelum tidur.,Higienitas & Self-Care
2,Trimester 1,Risiko Rendah,7,5,Pasang aplikasi pemantau perkembangan janin untuk melihat milestone mingguan janin.,Persiapan Praktis
2,Trimester 1,Risiko Sedang,1,1,Kunyah permen jahe alami atau minum air jahe hangat sesaat setelah bangun pagi.,Nutrisi & Hidrasi
2,Trimester 1,Risiko Sedang,1,2,Minum tablet pereda mual resep dokter saat bangun pagi dengan segelas air hangat.,Vitamin & Obat
2,Trimester 1,Risiko Sedang,1,3,Jalan santai santai pagi di teras rumah selama 10 menit pada pagi hari yang sejuk.,Aktivitas & Istirahat
2,Trimester 1,Risiko Sedang,1,4,Sikat gigi dengan pasta gigi tanpa busa berlebih (detergent-free) agar tidak memicu rasa mual.,Higienitas & Self-Care
2,Trimester 1,Risiko Sedang,1,5,Beli pakaian dalam dan baju longgar katun secara online dari kenyamanan rumah.,Persiapan Praktis
2,Trimester 1,Risiko Sedang,2,1,Makan bubur havermut (oatmeal) hangat dengan irisan pisang kepok kukus.,Nutrisi & Hidrasi
2,Trimester 1,Risiko Sedang,2,2,Konsumsi tablet asam folat dan mikronutrien prenatal sesudah sarapan pagi.,Vitamin & Obat
2,Trimester 1,Risiko Sedang,2,3,Istirahat baring siang terjadwal selama 1 jam dengan bantal penopang punggung.,Aktivitas & Istirahat
2,Trimester 1,Risiko Sedang,2,4,Kenakan pakaian santai berkancing longgar yang tidak membatasi pernapasan dada.,Higienitas & Self-Care
2,Trimester 1,Risiko Sedang,2,5,Siapkan dana darurat medis kehamilan dalam rekening yang mudah dicairkan sewaktu-waktu.,Persiapan Praktis
2,Trimester 1,Risiko Sedang,3,1,Minum air elektrolit atau air kelapa muda 1-2 gelas secara bertahap sepanjang siang.,Nutrisi & Hidrasi
2,Trimester 1,Risiko Sedang,3,2,Minum suplemen asam lambung (jika diresepkan) dengan jeda 1 jam sebelum makan siang.,Vitamin & Obat
2,Trimester 1,Risiko Sedang,3,3,Latihan pernapasan relaksasi 10 menit sambil bersandar nyaman di sofa empuk.,Aktivitas & Istirahat
2,Trimester 1,Risiko Sedang,3,4,Mandi menggunakan kursi mandi khusus (shower chair) atau duduk santai agar tidak licin.,Higienitas & Self-Care
2,Trimester 1,Risiko Sedang,3,5,Diskusikan penyesuaian beban kerja (work from home / tugas ringan) dengan atasan kantor.,Persiapan Praktis
2,Trimester 1,Risiko Sedang,4,1,Santap nasi tim daging ayam cincang dan sayur bening bayam untuk makan siang.,Nutrisi & Hidrasi
2,Trimester 1,Risiko Sedang,4,2,Konsumsi vitamin prenatal rutin dan pastikan tidak terlewat menggunakan alarm ponsel.,Vitamin & Obat
2,Trimester 1,Risiko Sedang,4,3,Gunakan kursi ergonomis saat bekerja dan lakukan jeda berdiri ringan setiap 30 menit.,Aktivitas & Istirahat
2,Trimester 1,Risiko Sedang,4,4,Keringkan area kewanitaan dengan handuk katun bersih khusus dengan cara ditepuk lembut.,Higienitas & Self-Care
2,Trimester 1,Risiko Sedang,4,5,"Pesan stok biskuit gandum, madu murni, dan sari jahe untuk persediaan anti-mual harian.",Persiapan Praktis
2,Trimester 1,Risiko Sedang,5,1,Ngemil biskuit kelapa kering atau kerupuk panggang bebas pengawet saat jeda sore.,Nutrisi & Hidrasi
2,Trimester 1,Risiko Sedang,5,2,Minum tablet vitamin B6 tambahan di sore hari jika gejala morning sickness meningkat.,Vitamin & Obat
2,Trimester 1,Risiko Sedang,5,3,Lakukan peregangan tangan dan bahu lembut tanpa mengedan di sofa santai.,Aktivitas & Istirahat
2,Trimester 1,Risiko Sedang,5,4,Ganti pakaian dalam katun longgar segera setelah selesai beraktivitas di dalam rumah.,Higienitas & Self-Care
2,Trimester 1,Risiko Sedang,5,5,Pastikan jalur dari tempat tidur menuju kamar mandi memiliki penerangan lampu malam yang cukup.,Persiapan Praktis
2,Trimester 1,Risiko Sedang,6,1,Makan malam sup wortel kentang hangat porsi kecil yang tidak berbumbu menyengat.,Nutrisi & Hidrasi
2,Trimester 1,Risiko Sedang,6,2,Konsumsi suplemen kalsium prenatal sesudah makan malam sesuai panduan medis.,Vitamin & Obat
2,Trimester 1,Risiko Sedang,6,3,Rebahkan tubuh santai di sore hari sambil mengangkat kaki ke atas bantal guling.,Aktivitas & Istirahat
2,Trimester 1,Risiko Sedang,6,4,Kompres mata dengan kantung teh kamomil dingin untuk meredakan mata lelah di sore hari.,Higienitas & Self-Care
2,Trimester 1,Risiko Sedang,6,5,Simpan salinan resep obat dokter dan nomor apotek 24 jam terdekat di ponsel.,Persiapan Praktis
2,Trimester 1,Risiko Sedang,7,1,Konsumsi susu formula hamil khusus anti-mual hangat sebelum beristirahat malam.,Nutrisi & Hidrasi
2,Trimester 1,Risiko Sedang,7,2,"Susun dan pisahkan obat resep dan vitamin ke dalam kompartemen pagi, siang, dan malam.",Vitamin & Obat
2,Trimester 1,Risiko Sedang,7,3,Tidur malam terjadwal jam 21.30 dengan lampu redup untuk relaksasi mendalam.,Aktivitas & Istirahat
2,Trimester 1,Risiko Sedang,7,4,Oleskan pelembap tubuh alami pada kulit paha dan perut sebelum tidur malam.,Higienitas & Self-Care
2,Trimester 1,Risiko Sedang,7,5,Review hak pertanggungan asuransi kesehatan terkait rawat inap komplikasi kehamilan.,Persiapan Praktis
2,Trimester 1,Risiko Tinggi,1,1,Santap pisang ambon lumat atau biskuit kering di ranjang sebelum menggerakkan tubuh.,Nutrisi & Hidrasi
2,Trimester 1,Risiko Tinggi,1,2,Minum obat penguat progesteron dosis pagi tepat waktu di atas tempat tidur.,Vitamin & Obat
2,Trimester 1,Risiko Tinggi,1,3,Tirah baring di kasur posisi miring kiri didukung bantal di antara kedua lutut.,Aktivitas & Istirahat
2,Trimester 1,Risiko Tinggi,1,4,Seka seluruh tubuh di tempat tidur menggunakan waslap hangat dan sabun cair bayi lembut.,Higienitas & Self-Care
2,Trimester 1,Risiko Tinggi,1,5,Pesan kebutuhan pakaian ibu hamil longgar dan bantal penopang medis via smartphone di kasur.,Persiapan Praktis
2,Trimester 1,Risiko Tinggi,2,1,Konsumsi air tajin/air beras merah hangat yang kaya vitamin B di tempat tidur.,Nutrisi & Hidrasi
2,Trimester 1,Risiko Tinggi,2,2,Konsumsi asam folat medis dan multivitamin prenatal setelah sarapan di kasur.,Vitamin & Obat
2,Trimester 1,Risiko Tinggi,2,3,Latihan pernapasan perut lambat 10 menit untuk meredakan ketegangan rahim di ranjang.,Aktivitas & Istirahat
2,Trimester 1,Risiko Tinggi,2,4,Lakukan perawatan gigi dan kebersihan mulut di kasur dibantu pendamping.,Higienitas & Self-Care
2,Trimester 1,Risiko Tinggi,2,5,Pastikan dana darurat medis dan limit asuransi kesehatan sudah dicek dan siap digunakan.,Persiapan Praktis
2,Trimester 1,Risiko Tinggi,3,1,Minum larutan elektrolit hidrasi rehidrasi oral 200 ml secara perlahan dengan sedotan di kasur.,Nutrisi & Hidrasi
2,Trimester 1,Risiko Tinggi,3,2,Minum obat anti-mual resep dokter spesialis sebelum jadwal makan siang di ranjang.,Vitamin & Obat
